timestamp,dist_frontal,dist_derecho,pwm_izq,pwm_der
2025-12-29T00:22:24.638346,53.8,10.13,-8,-28
2025-12-29T00:22:24.665680,53.8,10.14,-8,-28
2025-12-29T00:22:24.695826,53.76,10.13,-8,-28
2025-12-29T00:22:24.726111,53.76,10.16,-8,-28
2025-12-29T00:22:24.756193,53.8,10.14,-8,-28
2025-12-29T00:22:24.786507,53.43,10.14,-8,-28
2025-12-29T00:22:24.816666,53.44,10.16,-8,-28
2025-12-29T00:22:24.850282,53.83,10.11,-7,-27
2025-12-29T00:22:24.877783,53.83,10.14,-7,-27
2025-12-29T00:22:24.908145,54.32,10.14,-7,-27
2025-12-29T00:22:24.941377,53.43,10.14,3,-17
2025-12-29T00:22:24.968644,53.5,10.13,3,-17
2025-12-29T00:22:24.998799,53.46,10.14,3,-17
2025-12-29T00:22:25.034707,54.3,10.13,7,-13
2025-12-29T00:22:25.059153,53.94,10.13,7,-13
2025-12-29T00:22:25.092305,53.5,10.14,7,-13
2025-12-29T00:22:25.121887,53.43,10.14,7,-13
2025-12-29T00:22:25.149518,53.44,10.16,15,-5
2025-12-29T00:22:25.179865,53.46,10.16,15,-5
2025-12-29T00:22:25.210138,53.44,10.14,15,-5
2025-12-29T00:22:25.240181,53.39,10.11,18,-2
2025-12-29T00:22:25.270735,53.46,10.14,18,-2
2025-12-29T00:22:25.303956,53.48,10.13,18,-2
2025-12-29T00:22:25.331384,53.44,10.16,18,-2
2025-12-29T00:22:25.364447,53.43,10.14,20,0
2025-12-29T00:22:25.394761,53.46,10.11,20,0
2025-12-29T00:22:25.424789,53.48,10.13,20,0
2025-12-29T00:22:25.453588,53.43,10.14,23,3
2025-12-29T00:22:25.485353,53.41,10.11,23,3
2025-12-29T00:22:25.512669,54.34,10.11,23,3
2025-12-29T00:22:25.543096,53.44,10.13,28,12
2025-12-29T00:22:25.573220,53.46,10.14,28,12
2025-12-29T00:22:25.605965,54.3,10.14,28,12
2025-12-29T00:22:25.633473,53.48,10.13,30,14
2025-12-29T00:22:25.663751,53.97,10.14,30,14
2025-12-29T00:22:25.696908,53.41,10.09,30,14
2025-12-29T00:22:25.724145,53.46,10.14,30,14
2025-12-29T00:22:25.756591,54.34,10.13,33,17
2025-12-29T00:22:25.784788,53.43,10.18,33,17
2025-12-29T00:22:25.814955,53.8,10.13,33,17
2025-12-29T00:22:25.848442,53.43,10.14,37,21
2025-12-29T00:22:25.875907,53.43,10.13,37,21
2025-12-29T00:22:25.908947,53.76,10.14,37,21
2025-12-29T00:22:25.940187,53.76,10.09,40,24
2025-12-29T00:22:25.969582,53.62,10.13,40,24
2025-12-29T00:22:25.996598,53.58,10.2,40,24
2025-12-29T00:22:26.031623,53.44,9.79,40,24
2025-12-29T00:22:26.058674,53.27,9.81,45,29
2025-12-29T00:22:26.088235,53.44,9.79,45,29
2025-12-29T00:22:26.118308,53.25,9.79,45,29
2025-12-29T00:22:26.147517,52.55,10.13,50,34
2025-12-29T00:22:26.180185,40.72,10.11,50,34
2025-12-29T00:22:26.209665,40.47,10.11,50,34
2025-12-29T00:22:26.237204,39.28,10.11,55,39
2025-12-29T00:22:26.265630,39.02,10.13,55,39
2025-12-29T00:22:26.295315,37.79,10.11,55,39
2025-12-29T00:22:26.325915,37.58,10.13,55,39
2025-12-29T00:22:26.355708,51.02,10.16,57,41
2025-12-29T00:22:26.384442,50.6,10.14,57,41
2025-12-29T00:22:26.414262,51.22,10.14,57,41
2025-12-29T00:22:26.444685,49.95,10.16,57,41
2025-12-29T00:22:26.474247,49.57,10.11,57,41
2025-12-29T00:22:26.504521,49.74,10.13,57,41
2025-12-29T00:22:26.536850,48.88,10.14,57,41
2025-12-29T00:22:26.564457,48.49,10.13,57,41
2025-12-29T00:22:26.594353,49.18,10.13,57,41
2025-12-29T00:22:26.626557,48.76,10.13,57,41
2025-12-29T00:22:26.657019,47.9,10.11,59,43
2025-12-29T00:22:26.683777,47.06,9.09,59,43
2025-12-29T00:22:26.712997,46.65,9.06,59,43
2025-12-29T00:22:26.743450,46.27,9.07,64,48
2025-12-29T00:22:26.772128,45.79,9.09,64,48
2025-12-29T00:22:26.802922,44.93,9.13,64,48
2025-12-29T00:22:26.831069,44.56,9.14,64,48
2025-12-29T00:22:26.861755,44.55,9.09,64,48
2025-12-29T00:22:26.893338,45.58,9.04,64,48
2025-12-29T00:22:26.920458,45.6,9.43,64,48
2025-12-29T00:22:26.953150,43.37,9.41,64,48
2025-12-29T00:22:26.980525,42.84,9.41,64,48
2025-12-29T00:22:27.013084,42.88,9.41,64,48
2025-12-29T00:22:27.043021,42.86,9.43,64,48
2025-12-29T00:22:27.069418,42.9,9.46,64,48
2025-12-29T00:22:27.101982,41.63,9.43,64,48
2025-12-29T00:22:27.131319,41.18,9.78,64,48
2025-12-29T00:22:27.157972,41.18,9.79,64,48
2025-12-29T00:22:27.190375,41.63,9.78,64,48
2025-12-29T00:22:27.217266,39.46,9.79,64,48
2025-12-29T00:22:27.248790,39.47,9.79,64,48
2025-12-29T00:22:27.275742,39.47,9.81,64,48
2025-12-29T00:22:27.304898,37.79,9.81,64,48
2025-12-29T00:22:27.333361,23.31,10.11,64,48
2025-12-29T00:22:27.365635,23.33,10.11,64,48
2025-12-29T00:22:27.393496,24.24,9.09,64,48
2025-12-29T00:22:27.422846,37.84,9.07,64,48
2025-12-29T00:22:27.449322,38.26,9.11,64,48
2025-12-29T00:22:27.481383,36.52,9.11,64,48
2025-12-29T00:22:27.510331,36.54,9.11,64,48
2025-12-29T00:22:27.536781,36.51,9.07,64,48
2025-12-29T00:22:27.565320,20.32,9.07,64,48
2025-12-29T00:22:27.594657,37.07,9.07,64,48
2025-12-29T00:22:27.626779,37.07,9.46,64,48
2025-12-29T00:22:27.657057,37.07,9.41,63,49
2025-12-29T00:22:27.683516,34.37,9.46,63,49
2025-12-29T00:22:27.711128,36.79,9.44,63,49
2025-12-29T00:22:27.739840,33.01,9.44,63,49
2025-12-29T00:22:27.770716,32.21,9.43,49,63
2025-12-29T00:22:27.797539,16.64,9.76,49,63
2025-12-29T00:22:27.826368,31.38,9.76,49,63
2025-12-29T00:22:27.857557,30.56,9.81,49,63
2025-12-29T00:22:27.884133,30.57,9.81,37,67
2025-12-29T00:22:27.914290,31.07,9.76,37,67
2025-12-29T00:22:27.941468,30.28,8.72,37,67
2025-12-29T00:22:27.972022,29.4,8.71,35,69
2025-12-29T00:22:27.999114,30.29,8.74,35,69
2025-12-29T00:22:28.027131,16.66,8.72,35,69
2025-12-29T00:22:28.058251,17.99,8.74,35,69
2025-12-29T00:22:28.084645,17.67,8.74,33,69
2025-12-29T00:22:28.114446,26.96,8.72,33,69
2025-12-29T00:22:28.140389,28.77,8.69,33,69
2025-12-29T00:22:28.171290,25.73,8.74,33,69
2025-12-29T00:22:28.197245,16.64,8.76,33,69
2025-12-29T00:22:28.225551,25.45,8.71,33,69
2025-12-29T00:22:28.255625,27.24,8.69,33,69
2025-12-29T00:22:28.285513,25.15,8.74,33,69
2025-12-29T00:22:28.313911,27.01,8.74,33,69
2025-12-29T00:22:28.339848,23.91,8.71,33,69
2025-12-29T00:22:28.371393,25.73,8.72,33,69
2025-12-29T00:22:28.396586,23.62,8.74,33,69
2025-12-29T00:22:28.425052,23.33,8.72,33,69
2025-12-29T00:22:28.455943,23.31,8.69,33,69
2025-12-29T00:22:28.481758,23.03,8.71,33,69
2025-12-29T00:22:28.513138,22.68,8.72,33,69
2025-12-29T00:22:28.541850,22.33,8.74,33,69
2025-12-29T00:22:28.569620,21.99,8.71,33,69
2025-12-29T00:22:28.595236,20.68,8.72,33,69
2025-12-29T00:22:28.623292,20.32,8.71,33,69
2025-12-29T00:22:28.651514,19.99,8.71,31,71
2025-12-29T00:22:28.682409,19.97,8.72,31,71
2025-12-29T00:22:28.707819,19.62,8.71,31,71
2025-12-29T00:22:28.738336,19.34,8.72,22,72
2025-12-29T00:22:28.763795,18.03,8.74,22,72
2025-12-29T00:22:28.793413,17.67,9.79,22,72
2025-12-29T00:22:28.824154,17.34,9.79,22,72
2025-12-29T00:22:28.848455,17.01,9.76,20,74
2025-12-29T00:22:28.876809,16.64,9.43,20,74
2025-12-29T00:22:28.906216,17.62,9.43,20,74
2025-12-29T00:22:28.935559,17.32,9.46,20,74
2025-12-29T00:22:28.960344,15.6,9.44,20,74
2025-12-29T00:22:28.988733,15.29,9.09,20,74
2025-12-29T00:22:29.018356,14.92,9.07,20,74
2025-12-29T00:22:29.048022,15.94,9.07,20,74
2025-12-29T00:22:29.072466,15.59,9.11,20,74
2025-12-29T00:22:29.100409,14.88,10.13,20,74
2025-12-29T00:22:29.128496,14.6,9.81,20,74
2025-12-29T00:22:29.155687,14.18,9.78,18,76
2025-12-29T00:22:29.183749,13.9,9.81,18,76
2025-12-29T00:22:29.213393,13.16,9.41,18,76
2025-12-29T00:22:29.242211,12.87,9.44,18,76
2025-12-29T00:22:29.267261,12.48,10.14,18,76
2025-12-29T00:22:29.295398,12.16,10.13,18,76
2025-12-29T00:22:29.325488,11.44,9.78,18,76
2025-12-29T00:22:31.878474,10.76,10.83,13,13
2025-12-29T00:22:31.903469,10.76,10.85,13,13
2025-12-29T00:22:31.933768,10.72,10.85,13,13
2025-12-29T00:22:31.961189,10.76,10.85,15,15
2025-12-29T00:22:31.989311,10.76,10.83,15,15
2025-12-29T00:22:32.017082,10.74,10.86,15,15
2025-12-29T00:22:32.042022,10.72,10.85,15,15
2025-12-29T00:22:32.072518,10.74,10.85,20,20
2025-12-29T00:22:32.098393,10.79,10.81,20,20
2025-12-29T00:22:32.126093,10.76,10.85,20,20
2025-12-29T00:22:32.155412,10.72,10.85,20,20
2025-12-29T00:22:32.181428,10.76,10.9,29,29
2025-12-29T00:22:32.209209,10.76,10.83,29,29
2025-12-29T00:22:32.236977,10.74,10.86,29,29
2025-12-29T00:22:32.266916,10.76,10.83,37,37
2025-12-29T00:22:32.291921,10.76,10.85,37,37
2025-12-29T00:22:32.321503,11.09,10.83,37,37
2025-12-29T00:22:32.349535,11.43,10.88,42,40
2025-12-29T00:22:32.376032,10.76,10.48,42,40
2025-12-29T00:22:32.406033,10.06,10.5,42,40
2025-12-29T00:22:32.433184,10.72,10.5,45,39
2025-12-29T00:22:32.459171,10.09,10.5,45,39
2025-12-29T00:22:32.486742,9.41,10.48,45,39
2025-12-29T00:22:32.514177,10.02,10.18,45,39
2025-12-29T00:22:32.541857,9.71,10.14,51,41
